"Reference","Value","Qty","DNP","Price","Purchase-URL"
"C1","10uF","1","","24","https://www.chipdip.ru/product/grm31cr61a106k"
"C2","100nF","1","","8",""
"D1","1N4007","1","","0,8","https://aliexpress.ru/item/32731035430.html?sku_id=12000018078130628"
"D2","LED","1","","19","https://www.chipdip.ru/product/l-1154gt"
"F1","15A","1","","44","https://aliexpress.ru/item/1005002933092692.html?sku_id=12000022861386493"
"F2","1A","1","","39","https://www.chipdip.ru/product/mf02s84-1000-1"
"IO0,SW2","SW_Push","2","","-- смешанные значения --",""
"J2","Conn_01x04","1","","33","https://www.chipdip.ru/product/300-041-12"
"K1","TRA2-L-3VDC-S-Z","1","","88","https://www.chipdip.ru/product0/8025423609"
"PS1","HLK-PM03","1","","170",""
"Q1","IRLML0030","1","","19","https://www.chipdip.ru/product0/8017689792"
"R1,R2,R3,R5","10k","4","","0,4",""
"R4","470","1","","0,4",""
"R6","82","1","","0,4",""
"U1","ESP-12E","1","","100",""
"UART1","Serial","1","","",""
